country,Time,Happiness_score
Kyrgyzstan,2015,4.905375957
Kyrgyzstan,2016,4.856534004
Kyrgyzstan,2017,5.629536629
Kyrgyzstan,2018,5.297383308
Kyrgyzstan,2019,5.685220718
Lebanon,2010,5.031899452
Lebanon,2011,5.187571526
Lebanon,2012,4.572566986
Lebanon,2013,4.983288765
Lebanon,2014,5.233025551
Lebanon,2015,5.171971321
Lebanon,2016,5.27072382
Lebanon,2017,5.153989792
Lebanon,2018,5.167186737
Lebanon,2019,4.024219513
Lithuania,2010,5.065824986
Lithuania,2011,5.43243742
Lithuania,2012,5.771037102
Lithuania,2013,5.595689297
Lithuania,2014,6.125723839
Lithuania,2015,5.711378098
Lithuania,2016,5.865552425
Lithuania,2017,6.272940636
Lithuania,2018,6.308878899
Lithuania,2019,6.064097881
Luxembourg,2010,7.097251892
Luxembourg,2011,7.101400375
Luxembourg,2012,6.964097023
Luxembourg,2013,7.130809307
Luxembourg,2014,6.89112711
Luxembourg,2015,6.701571465
Luxembourg,2016,6.967340946
Luxembourg,2017,7.061380863
Luxembourg,2018,7.242630959
Luxembourg,2019,7.404015541
Macedonia,2010,4.180202007
Macedonia,2011,4.898180008
Macedonia,2012,4.639647484
Macedonia,2013,5.186190605
Macedonia,2014,5.203825951
Macedonia,2015,4.975589752
Macedonia,2016,5.34574604
Macedonia,2017,5.233866692
Macedonia,2018,5.239834785
Macedonia,2019,5.015485287
Mali,2010,3.762305021
Mali,2011,4.666832924
Mali,2012,4.313016891
Mali,2013,3.676277161
Mali,2014,3.974714279
Mali,2015,4.582098484
Mali,2016,4.016027927
Mali,2017,4.741850376
Mali,2018,4.415729523
Mali,2019,4.98799181
Malta,2010,5.77387476
Malta,2011,6.154718399
Malta,2012,5.962872028
Malta,2013,6.379924774
Malta,2014,6.45211792
Malta,2015,6.61339426
Malta,2016,6.590842247
Malta,2017,6.675665855
Malta,2018,6.909710884
Malta,2019,6.73297739
Mauritania,2010,4.772306919
Mauritania,2011,4.784804344
Mauritania,2012,4.673203945
Mauritania,2013,4.199015141
Mauritania,2014,4.482805252
Mauritania,2015,3.922664165
Mauritania,2016,4.472149372
Mauritania,2017,4.678159714
Mauritania,2018,4.313615322
Mauritania,2019,4.152619362
Mexico,2010,6.802388668
Mexico,2011,6.909515381
Mexico,2012,7.320185184
Mexico,2013,7.442546368
Mexico,2014,6.679831028
Mexico,2015,6.236287117
Mexico,2016,6.824172974
Mexico,2017,6.410299301
Mexico,2018,6.549578667
Mexico,2019,6.431945324
Moldova,2010,5.589736462
Moldova,2011,5.792262554
Moldova,2012,5.995712757
Moldova,2013,5.75605917
Moldova,2014,5.917058468
Moldova,2015,6.017472267
Moldova,2016,5.577784061
Moldova,2017,5.325530529
Moldova,2018,5.682277203
Moldova,2019,5.803450584
Mongolia,2010,4.585523605
Mongolia,2011,5.031173706
Mongolia,2012,4.885150433
Mongolia,2013,4.912928104
Mongolia,2014,4.824834824
Mongolia,2015,4.982719898
Mongolia,2016,5.056999683
Mongolia,2017,5.333850384
Mongolia,2018,5.464622974
Mongolia,2019,5.562905312
Montenegro,2010,5.455030441
Montenegro,2011,5.223116875
Montenegro,2012,5.218724251
Montenegro,2013,5.074341774
Montenegro,2014,5.282720566
Montenegro,2015,5.124921322
Montenegro,2016,5.304066181
Montenegro,2017,5.614798546
Montenegro,2018,5.650189877
Montenegro,2019,5.386024952
Nepal,2010,4.349675179
Nepal,2011,3.809444666
Nepal,2012,4.233244896
Nepal,2013,4.604576588
Nepal,2014,4.975014687
Nepal,2015,4.812436581
Nepal,2016,5.099539757
Nepal,2017,4.736692429
Nepal,2018,4.910086632
Nepal,2019,5.448724747
Netherlands,2010,7.501875877
Netherlands,2011,7.563797951
Netherlands,2012,7.470715523
Netherlands,2013,7.406550407
Netherlands,2014,7.32118845
Netherlands,2015,7.324437141
Netherlands,2016,7.540877342
Netherlands,2017,7.458965302
Netherlands,2018,7.463097095
Netherlands,2019,7.42526865
New Zealand,2010,7.223756313
New Zealand,2011,7.190638065
New Zealand,2012,7.249629974
New Zealand,2013,7.280151844
New Zealand,2014,7.305892467
New Zealand,2015,7.418120861
New Zealand,2016,7.225687981
New Zealand,2017,7.32718277
New Zealand,2018,7.370285988
New Zealand,2019,7.205174446
Nicaragua,2010,5.68669939
Nicaragua,2011,5.385705471
Nicaragua,2012,5.448006153
Nicaragua,2013,5.772274971
Nicaragua,2014,6.275266647
Nicaragua,2015,5.924112797
Nicaragua,2016,6.012739658
Nicaragua,2017,6.476356506
Nicaragua,2018,5.81895256
Nicaragua,2019,6.112545013
Niger,2010,4.101016045
Niger,2011,4.555829525
Niger,2012,3.798088312
Niger,2013,3.716329813
Niger,2014,4.180943489
Niger,2015,3.671453714
Niger,2016,4.234645844
Niger,2017,4.615673542
Niger,2018,5.164007187
Niger,2019,5.003544331
Palestinian Territories,2010,4.702603817
Palestinian Territories,2011,4.751219749
Palestinian Territories,2012,4.646608353
Palestinian Territories,2013,4.844027996
Palestinian Territories,2014,4.721938133
Palestinian Territories,2015,4.695239067
Palestinian Territories,2016,4.906618118
Palestinian Territories,2017,4.62813282
Palestinian Territories,2018,4.5539217
Palestinian Territories,2019,4.48253727
Panama,2010,7.3214674
Panama,2011,7.24808073
Panama,2012,6.859835625
Panama,2013,6.86648035
Panama,2014,6.631171227
Panama,2015,6.605550289
Panama,2016,6.117638111
Panama,2017,6.567658901
Panama,2018,6.281434059
Panama,2019,6.085955143
Peru,2010,5.612785339
Peru,2011,5.892457485
Peru,2012,5.824557304
Peru,2013,5.782557487
Peru,2014,5.865815639
Peru,2015,5.577263355
Peru,2016,5.700628757
Peru,2017,5.710936546
Peru,2018,5.679661274
Peru,2019,5.999381542
Philippines,2010,4.941514015
Philippines,2011,4.993956566
Philippines,2012,5.001965046
Philippines,2013,4.976925373
Philippines,2014,5.312550068
Philippines,2015,5.547489166
Philippines,2016,5.430832863
Philippines,2017,5.594270229
Philippines,2018,5.869172573
Philippines,2019,6.267745018
Poland,2010,5.887029648
Poland,2011,5.646204948
Poland,2012,5.87593174
Poland,2013,5.746131897
Poland,2014,5.750282288
Poland,2015,6.007021904
Poland,2016,6.162076473
Poland,2017,6.201268196
Poland,2018,6.111485004
Poland,2019,6.24209404
Portugal,2010,5.094525814
Portugal,2011,5.219997883
Portugal,2012,4.993962288
Portugal,2013,5.157688141
Portugal,2014,5.12691164
Portugal,2015,5.080866337
Portugal,2016,5.446637154
Portugal,2017,5.711499214
Portugal,2018,5.919822693
Portugal,2019,6.095473289
Romania,2010,4.909165859
Romania,2011,5.02275753
Romania,2012,5.166874886
Romania,2013,5.081584454
Romania,2014,5.726893425
Romania,2015,5.777491093
Romania,2016,5.96887064
Romania,2017,6.089904785
Romania,2018,6.150878906
Romania,2019,6.129942417
Saudi Arabia,2010,6.307098389
Saudi Arabia,2011,6.699789524
Saudi Arabia,2012,6.396359444
Saudi Arabia,2013,6.495132923
Saudi Arabia,2014,6.27837801
Saudi Arabia,2015,6.345491886
Saudi Arabia,2016,6.473921299
Saudi Arabia,2017,6.294282436
Saudi Arabia,2018,6.356393337
Saudi Arabia,2019,6.561247349
Senegal,2010,4.372156143
Senegal,2011,3.834201574
Senegal,2012,3.668736935
Senegal,2013,3.647367001
Senegal,2014,4.394777298
Senegal,2015,4.61700058
Senegal,2016,4.59453392
Senegal,2017,4.683024883
Senegal,2018,4.769377232
Senegal,2019,5.488736629
Serbia,2010,4.461304188
Serbia,2011,4.815186501
Serbia,2012,5.154521942
Serbia,2013,5.101840496
Serbia,2014,5.112728596
Serbia,2015,5.317685127
Serbia,2016,5.752754688
Serbia,2017,5.122031212
Serbia,2018,5.936493397
Serbia,2019,6.241407394
Slovakia,2010,6.052223206
Slovakia,2011,5.945048332
Slovakia,2012,5.91105938
Slovakia,2013,5.936527252
Slovakia,2014,6.1388731
Slovakia,2015,6.162004471
Slovakia,2016,5.993163109
Slovakia,2017,6.365509033
Slovakia,2018,6.23511076
Slovakia,2019,6.243428707
Slovenia,2010,6.082555294
Slovenia,2011,6.035964012
Slovenia,2012,6.062891006
Slovenia,2013,5.974888802
Slovenia,2014,5.678395271
Slovenia,2015,5.740642071
Slovenia,2016,5.936821461
Slovenia,2017,6.166837692
Slovenia,2018,6.249419212
Slovenia,2019,6.665273666
South Africa,2010,4.652428627
South Africa,2011,4.930511475
South Africa,2012,5.133887768
South Africa,2013,3.660727262
South Africa,2014,4.828456402
South Africa,2015,4.887325764
South Africa,2016,4.769739628
South Africa,2017,4.513655186
South Africa,2018,4.8839221
South Africa,2019,5.034863472
South Korea,2010,6.116024494
South Korea,2011,6.946599007
South Korea,2012,6.003286839
South Korea,2013,5.958809853
South Korea,2014,5.801325321
South Korea,2015,5.780211449
South Korea,2016,5.970564365
South Korea,2017,5.873887062
South Korea,2018,5.840231419
South Korea,2019,5.902816772
Spain,2010,6.188262463
Spain,2011,6.518249035
Spain,2012,6.290690422
Spain,2013,6.150027275
Spain,2014,6.456477642
Spain,2015,6.380663395
Spain,2016,6.318612099
Spain,2017,6.230173111
Spain,2018,6.513370991
Spain,2019,6.457449436
Sweden,2010,7.496018887
Sweden,2011,7.382232189
Sweden,2012,7.560147762
Sweden,2013,7.434010506
Sweden,2014,7.239147663
Sweden,2015,7.28892231
Sweden,2016,7.368744373
Sweden,2017,7.286804676
Sweden,2018,7.374792099
Sweden,2019,7.398092747
Taiwan Province of China,2010,6.228530884
Taiwan Province of China,2011,6.308915138
Taiwan Province of China,2012,6.125916958
Taiwan Province of China,2013,6.340344429
Taiwan Province of China,2014,6.36349678
Taiwan Province of China,2015,6.450088024
Taiwan Province of China,2016,6.512850761
Taiwan Province of China,2017,6.359450817
Taiwan Province of China,2018,6.467004776
Taiwan Province of China,2019,6.537089825
Tajikistan,2010,4.380636215
Tajikistan,2011,4.262671471
Tajikistan,2012,4.496571541
Tajikistan,2013,4.966521263
Tajikistan,2014,4.896157742
Tajikistan,2015,5.124210835
Tajikistan,2016,5.103721142
Tajikistan,2017,5.829234123
Tajikistan,2018,5.497468948
Tajikistan,2019,5.464015484
Tanzania,2010,3.229129076
Tanzania,2011,4.073562145
Tanzania,2012,4.006897449
Tanzania,2013,3.852394819
Tanzania,2014,3.483278513
Tanzania,2015,3.660597324
Tanzania,2016,2.90273428
Tanzania,2017,3.347121239
Tanzania,2018,3.445023298
Tanzania,2019,3.640154839
Thailand,2010,6.216702938
Thailand,2011,6.663609028
Thailand,2012,6.300235271
Thailand,2013,6.231024742
Thailand,2014,6.985463619
Thailand,2015,6.201762676
Thailand,2016,6.07363987
Thailand,2017,5.938895226
Thailand,2018,6.011561871
Thailand,2019,6.02215147
Tunisia,2010,5.130520821
Tunisia,2011,4.87648201
Tunisia,2012,4.463531017
Tunisia,2013,5.245604992
Tunisia,2014,4.763594627
Tunisia,2015,5.131611824
Tunisia,2016,4.521453381
Tunisia,2017,4.124342918
Tunisia,2018,4.741132259
Tunisia,2019,4.315479755
Turkey,2010,5.490347385
Turkey,2011,5.271944046
Turkey,2012,5.309076309
Turkey,2013,4.888177395
Turkey,2014,5.579794407
Turkey,2015,5.514465332
Turkey,2016,5.326221943
Turkey,2017,5.607262135
Turkey,2018,5.185689449
Turkey,2019,4.87207365
Uganda,2010,4.192882061
Uganda,2011,4.826001167
Uganda,2012,4.309237957
Uganda,2013,3.709578753
Uganda,2014,3.769919157
Uganda,2015,4.237686634
Uganda,2016,4.233261108
Uganda,2017,4.000516891
Uganda,2018,4.321714878
Uganda,2019,4.948051453
Ukraine,2010,5.057561398
Ukraine,2011,5.083132744
Ukraine,2012,5.030342102
Ukraine,2013,4.710802555
Ukraine,2014,4.297329903
Ukraine,2015,3.964542866
Ukraine,2016,4.028690338
Ukraine,2017,4.311067104
Ukraine,2018,4.661909103
Ukraine,2019,4.701762199
United Arab Emirates,2010,7.097455502
United Arab Emirates,2011,7.118701458
United Arab Emirates,2012,7.217766762
United Arab Emirates,2013,6.620951176
United Arab Emirates,2014,6.539854527
United Arab Emirates,2015,6.568397522
United Arab Emirates,2016,6.83095026
United Arab Emirates,2017,7.039419651
United Arab Emirates,2018,6.603743553
United Arab Emirates,2019,6.710782528
United Kingdom,2010,7.029364109
United Kingdom,2011,6.869248867
United Kingdom,2012,6.880784035
United Kingdom,2013,6.918055058
United Kingdom,2014,6.758147717
United Kingdom,2015,6.515445232
United Kingdom,2016,6.8242836
United Kingdom,2017,7.103273392
United Kingdom,2018,7.233445168
United Kingdom,2019,7.157151222
United States,2010,7.16361618
United States,2011,7.115138531
United States,2012,7.026226997
United States,2013,7.249285221
United States,2014,7.151114464
United States,2015,6.863946915
United States,2016,6.803599834
United States,2017,6.9917593
United States,2018,6.882684708
United States,2019,6.943701267
Uruguay,2010,6.062010765
Uruguay,2011,6.554047108
Uruguay,2012,6.449728489
Uruguay,2013,6.444464684
Uruguay,2014,6.561443806
Uruguay,2015,6.628080368
Uruguay,2016,6.171485424
Uruguay,2017,6.336009979
Uruguay,2018,6.371714592
Uruguay,2019,6.600337029
Uzbekistan,2010,5.095342159
Uzbekistan,2011,5.738744259
Uzbekistan,2012,6.019331932
Uzbekistan,2013,5.939986229
Uzbekistan,2014,6.049212456
Uzbekistan,2015,5.972364426
Uzbekistan,2016,5.892539024
Uzbekistan,2017,6.421447754
Uzbekistan,2018,6.205460072
Uzbekistan,2019,6.154049397
Venezuela,2010,7.47845459
Venezuela,2011,6.579789162
Venezuela,2012,7.066577435
Venezuela,2013,6.552796364
Venezuela,2014,6.136096478
Venezuela,2015,5.568800449
Venezuela,2016,4.041114807
Venezuela,2017,5.070750713
Venezuela,2018,5.005663395
Venezuela,2019,5.080803394
Vietnam,2010,5.295780659
Vietnam,2011,5.767344475
Vietnam,2012,5.53456974
Vietnam,2013,5.022698879
Vietnam,2014,5.084923267
Vietnam,2015,5.076315403
Vietnam,2016,5.062267303
Vietnam,2017,5.175278664
Vietnam,2018,5.295547009
Vietnam,2019,5.467451096
Yemen,2010,4.35031271
Yemen,2011,3.746255636
Yemen,2012,4.060600758
Yemen,2013,4.217678547
Yemen,2014,3.967957973
Yemen,2015,2.982673883
Yemen,2016,3.825630903
Yemen,2017,3.253560066
Yemen,2018,3.057513952
Yemen,2019,4.196912766
Zimbabwe,2010,4.681569576
Zimbabwe,2011,4.845641613
Zimbabwe,2012,4.955100536
Zimbabwe,2013,4.690187931
Zimbabwe,2014,4.184450626
Zimbabwe,2015,3.70319128
Zimbabwe,2016,3.7354002
Zimbabwe,2017,3.63830018
Zimbabwe,2018,3.616479874
Zimbabwe,2019,2.693523169
